& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
187 -- 239, 2.0, 2.0, 2.0, 2
187 -- 784, 1.0, 1.0, 1.0, 1
187 -- 1224, 1.0, 1.0, 1.0, 1
187 -- 554, 1.0, 1.0, 1.0, 1
187 -- 514, 10.0, 8.0, 8.0, 8
187 -- 879, 1.0, 1.0, 1.0, 1
187 -- 445, 1.0, 1.0, 1.0, 1
187 -- 1115, 1.0, 1.0, 1.0, 1
188 -- 848, 1.0, 1.0, 1.0, 1
188 -- 264, 1.0, 1.0, 1.0, 1
188 -- 1179, 1.0, 1.0, 1.0, 1
188 -- 451, 1.0, 1.0, 1.0, 1
188 -- 664, 1.0, 1.0, 1.0, 1
188 -- 1004, 1.0, 1.0, 1.0, 1
188 -- 1202, 1.0, 1.0, 1.0, 1
188 -- 189, 2.0, 2.0, 2.0, 2
188 -- 313, 2.0, 2.0, 2.0, 2
188 -- 314, 9.0, 8.0, 8.0, 8
188 -- 426, 1.0, 1.0, 1.0, 1
188 -- 504, 1.0, 1.0, 1.0, 1
188 -- 395, 1.0, 1.0, 1.0, 1
188 -- 429, 1.0, 1.0, 1.0, 1
188 -- 613, 1.0, 1.0, 1.0, 1
188 -- 1230, 1.0, 1.0, 1.0, 1
188 -- 1214, 1.0, 1.0, 1.0, 1
188 -- 604, 1.0, 1.0, 1.0, 1
188 -- 529, 1.0, 1.0, 1.0, 1
188 -- 327, 1.0, 1.0, 1.0, 1
188 -- 872, 1.0, 1.0, 1.0, 1
188 -- 576, 1.0, 1.0, 1.0, 1
188 -- 854, 2.0, 2.0, 2.0, 2
188 -- 362, 1.0, 1.0, 1.0, 1
188 -- 777, 1.0, 1.0, 1.0, 1
188 -- 1281, 1.0, 1.0, 1.0, 1
188 -- 483, 1.0, 1.0, 1.0, 1
189 -- 835, 1.0, 1.0, 1.0, 1
189 -- 239, 4.0, 4.0, 4.0, 4
189 -- 1179, 1.0, 1.0, 1.0, 1
189 -- 888, 1.0, 1.0, 1.0, 1
189 -- 325, 1.0, 1.0, 1.0, 1
189 -- 1251, 1.0, 1.0, 1.0, 1
189 -- 1202, 1.0, 1.0, 1.0, 1
189 -- 1006, 1.0, 1.0, 1.0, 1
189 -- 986, 1.0, 1.0, 1.0, 1
189 -- 514, 4.0, 4.0, 4.0, 4
189 -- 854, 1.0, 1.0, 1.0, 1
189 -- 252, 2.0, 2.0, 2.0, 2
189 -- 879, 1.0, 1.0, 1.0, 1
189 -- 572, 1.0, 1.0, 1.0, 1
189 -- 1153, 1.0, 1.0, 1.0, 1
189 -- 348, 1.0, 1.0, 1.0, 1
190 -- 836, 1.0, 1.0, 1.0, 1
190 -- 190, 1.0, 1.0, 1.0, 1
190 -- 916, 1.0, 1.0, 1.0, 1
190 -- 500, 1.0, 1.0, 1.0, 1
190 -- 888, 1.0, 1.0, 1.0, 1
190 -- 360, 1.0, 1.0, 1.0, 1
190 -- 421, 2.0, 2.0, 2.0, 2
190 -- 1255, 1.0, 1.0, 1.0, 1
190 -- 315, 1.0, 1.0, 1.0, 1
190 -- 546, 4.0, 3.0, 3.0, 3
190 -- 356, 1.0, 1.0, 1.0, 1
190 -- 504, 1.0, 1.0, 1.0, 1
190 -- 703, 2.0, 2.0, 2.0, 2
190 -- 1259, 1.0, 1.0, 1.0, 1
190 -- 940, 2.0, 2.0, 2.0, 2
190 -- 1219, 8.0, 7.0, 7.0, 7
190 -- 985, 1.0, 1.0, 1.0, 1
190 -- 470, 1.0, 1.0, 1.0, 1
190 -- 1021, 1.0, 1.0, 1.0, 1
190 -- 1238, 1.0, 1.0, 1.0, 1
190 -- 693, 1.0, 1.0, 1.0, 1
190 -- 1023, 2.0, 2.0, 2.0, 2
190 -- 942, 5.0, 4.0, 4.0, 4
190 -- 992, 3.0, 3.0, 3.0, 3
190 -- 361, 1.0, 1.0, 1.0, 1
190 -- 812, 1.0, 1.0, 1.0, 1
190 -- 875, 1.0, 1.0, 1.0, 1
190 -- 522, 1.0, 1.0, 1.0, 1
190 -- 1275, 1.0, 1.0, 1.0, 1
190 -- 1148, 1.0, 1.0, 1.0, 1
190 -- 368, 1.0, 1.0, 1.0, 1
190 -- 650, 1.0, 1.0, 1.0, 1
190 -- 1026, 3.0, 3.0, 3.0, 3
190 -- 938, 1.0, 1.0, 1.0, 1
190 -- 704, 1.0, 1.0, 1.0, 1
190 -- 877, 1.0, 1.0, 1.0, 1
191 -- 979, 1.0, 1.0, 1.0, 1
191 -- 276, 9.0, 9.0, 9.0, 9
191 -- 1032, 1.0, 1.0, 1.0, 1
191 -- 502, 1.0, 1.0, 1.0, 1
191 -- 1225, 2.0, 2.0, 2.0, 2
191 -- 1226, 2.0, 2.0, 2.0, 2
191 -- 286, 3.0, 3.0, 3.0, 3
191 -- 1081, 1.0, 1.0, 1.0, 1
191 -- 1065, 1.0, 1.0, 1.0, 1
191 -- 568, 1.0, 1.0, 1.0, 1
191 -- 1227, 1.0, 1.0, 1.0, 1
191 -- 578, 3.0, 3.0, 3.0, 3
191 -- 628, 4.0, 4.0, 4.0, 4
191 -- 1030, 2.0, 2.0, 2.0, 2
191 -- 333, 1.0, 1.0, 1.0, 1
192 -- 669, 1.0, 1.0, 1.0, 1
192 -- 1218, 1.0, 1.0, 1.0, 1
192 -- 855, 1.0, 1.0, 1.0, 1
192 -- 1260, 1.0, 1.0, 1.0, 1
192 -- 1003, 1.0, 1.0, 1.0, 1
192 -- 611, 1.0, 1.0, 1.0, 1
193 -- 756, 1.0, 1.0, 1.0, 1
193 -- 1121, 1.0, 1.0, 1.0, 1
193 -- 1123, 1.0, 1.0, 1.0, 1
193 -- 342, 1.0, 1.0, 1.0, 1
193 -- 1126, 1.0, 1.0, 1.0, 1
193 -- 1006, 1.0, 1.0, 1.0, 1
193 -- 625, 2.0, 2.0, 2.0, 2
193 -- 958, 8.0, 4.0, 4.0, 4
193 -- 858, 1.0, 1.0, 1.0, 1
193 -- 886, 3.0, 3.0, 3.0, 3
193 -- 509, 2.0, 2.0, 2.0, 2
193 -- 341, 2.0, 1.0, 1.0, 1
193 -- 285, 1.0, 1.0, 1.0, 1
193 -- 1014, 1.0, 1.0, 1.0, 1
193 -- 1147, 1.0, 1.0, 1.0, 1
193 -- 878, 1.0, 1.0, 1.0, 1
193 -- 937, 1.0, 1.0, 1.0, 1
193 -- 1067, 1.0, 1.0, 1.0, 1
193 -- 801, 2.0, 2.0, 2.0, 2
193 -- 803, 4.0, 4.0, 4.0, 4
194 -- 467, 1.0, 1.0, 1.0, 1
194 -- 376, 1.0, 1.0, 1.0, 1
194 -- 1128, 1.0, 1.0, 1.0, 1
194 -- 279, 1.0, 1.0, 1.0, 1
194 -- 565, 1.0, 1.0, 1.0, 1
194 -- 1102, 1.0, 1.0, 1.0, 1
194 -- 435, 2.0, 2.0, 2.0, 2
194 -- 286, 1.0, 1.0, 1.0, 1
194 -- 501, 1.0, 1.0, 1.0, 1
194 -- 894, 18.0, 10.0, 10.0, 10
194 -- 252, 1.0, 1.0, 1.0, 1
194 -- 1244, 1.0, 1.0, 1.0, 1
194 -- 267, 2.0, 2.0, 2.0, 2
194 -- 648, 1.0, 1.0, 1.0, 1
194 -- 464, 1.0, 1.0, 1.0, 1
194 -- 1012, 1.0, 1.0, 1.0, 1
194 -- 610, 1.0, 1.0, 1.0, 1
195 -- 376, 2.0, 2.0, 2.0, 2
195 -- 810, 1.0, 1.0, 1.0, 1
195 -- 538, 1.0, 1.0, 1.0, 1
195 -- 540, 1.0, 1.0, 1.0, 1
195 -- 865, 1.0, 1.0, 1.0, 1
195 -- 672, 16.0, 14.0, 14.0, 14
195 -- 499, 1.0, 1.0, 1.0, 1
195 -- 717, 1.0, 1.0, 1.0, 1
195 -- 949, 1.0, 1.0, 1.0, 1
195 -- 675, 1.0, 1.0, 1.0, 1
195 -- 660, 1.0, 1.0, 1.0, 1
195 -- 196, 2.0, 2.0, 2.0, 2
195 -- 1172, 1.0, 1.0, 1.0, 1
195 -- 199, 1.0, 1.0, 1.0, 1
195 -- 215, 6.0, 6.0, 6.0, 6
195 -- 1101, 37.0, 10.0, 10.0, 10
195 -- 1102, 1.0, 1.0, 1.0, 1
195 -- 312, 1.0, 1.0, 1.0, 1
195 -- 399, 1.0, 1.0, 1.0, 1
195 -- 794, 1.0, 1.0, 1.0, 1
195 -- 925, 2.0, 2.0, 2.0, 2
195 -- 649, 1.0, 1.0, 1.0, 1
195 -- 1152, 1.0, 1.0, 1.0, 1
196 -- 1071, 1.0, 1.0, 1.0, 1
196 -- 848, 1.0, 1.0, 1.0, 1
196 -- 1079, 1.0, 1.0, 1.0, 1
196 -- 344, 2.0, 2.0, 2.0, 2
196 -- 1017, 1.0, 1.0, 1.0, 1
196 -- 212, 1.0, 1.0, 1.0, 1
196 -- 497, 1.0, 1.0, 1.0, 1
196 -- 672, 5.0, 5.0, 5.0, 5
196 -- 674, 2.0, 2.0, 2.0, 2
196 -- 675, 2.0, 2.0, 2.0, 2
196 -- 1169, 1.0, 1.0, 1.0, 1
196 -- 780, 1.0, 1.0, 1.0, 1
196 -- 782, 2.0, 2.0, 2.0, 2
196 -- 867, 2.0, 2.0, 2.0, 2
196 -- 745, 1.0, 1.0, 1.0, 1
196 -- 1101, 1.0, 1.0, 1.0, 1
196 -- 285, 1.0, 1.0, 1.0, 1
196 -- 644, 1.0, 1.0, 1.0, 1
196 -- 1152, 1.0, 1.0, 1.0, 1
196 -- 937, 1.0, 1.0, 1.0, 1
196 -- 797, 1.0, 1.0, 1.0, 1
196 -- 799, 1.0, 1.0, 1.0, 1
197 -- 570, 2.0, 1.0, 1.0, 1
197 -- 855, 1.0, 1.0, 1.0, 1
197 -- 575, 1.0, 1.0, 1.0, 1
198 -- 1132, 1.0, 1.0, 1.0, 1
198 -- 574, 1.0, 1.0, 1.0, 1
198 -- 575, 1.0, 1.0, 1.0, 1
198 -- 198, 1.0, 1.0, 1.0, 1
198 -- 1011, 1.0, 1.0, 1.0, 1
198 -- 938, 1.0, 1.0, 1.0, 1
198 -- 657, 1.0, 1.0, 1.0, 1
198 -- 1102, 1.0, 1.0, 1.0, 1
199 -- 1237, 1.0, 1.0, 1.0, 1
199 -- 368, 1.0, 1.0, 1.0, 1
199 -- 1080, 1.0, 1.0, 1.0, 1
199 -- 306, 1.0, 1.0, 1.0, 1
199 -- 1019, 1.0, 1.0, 1.0, 1
199 -- 671, 3.0, 3.0, 3.0, 3
199 -- 727, 1.0, 1.0, 1.0, 1
199 -- 857, 1.0, 1.0, 1.0, 1
199 -- 1047, 1.0, 1.0, 1.0, 1
199 -- 1210, 1.0, 1.0, 1.0, 1
199 -- 560, 1.0, 1.0, 1.0, 1
199 -- 839, 5.0, 2.0, 2.0, 2
199 -- 269, 2.0, 1.0, 1.0, 1
199 -- 782, 1.0, 1.0, 1.0, 1
199 -- 605, 1.0, 1.0, 1.0, 1
199 -- 1057, 1.0, 1.0, 1.0, 1
199 -- 916, 1.0, 1.0, 1.0, 1
199 -- 336, 1.0, 1.0, 1.0, 1
199 -- 1018, 2.0, 1.0, 1.0, 1
199 -- 361, 1.0, 1.0, 1.0, 1
199 -- 1062, 1.0, 1.0, 1.0, 1
199 -- 971, 1.0, 1.0, 1.0, 1
199 -- 367, 1.0, 1.0, 1.0, 1
199 -- 1234, 1.0, 1.0, 1.0, 1
199 -- 1079, 1.0, 1.0, 1.0, 1
199 -- 207, 1.0, 1.0, 1.0, 1
199 -- 674, 1.0, 1.0, 1.0, 1
200 -- 405, 1.0, 1.0, 1.0, 1
200 -- 1242, 1.0, 1.0, 1.0, 1
200 -- 1106, 3.0, 1.0, 1.0, 1
200 -- 808, 1.0, 1.0, 1.0, 1
200 -- 379, 2.0, 1.0, 1.0, 1
200 -- 810, 1.0, 1.0, 1.0, 1
200 -- 1119, 1.0, 1.0, 1.0, 1
200 -- 757, 2.0, 1.0, 1.0, 1
200 -- 767, 1.0, 1.0, 1.0, 1
200 -- 209, 1.0, 1.0, 1.0, 1
200 -- 1017, 1.0, 1.0, 1.0, 1
200 -- 585, 1.0, 1.0, 1.0, 1
200 -- 586, 1.0, 1.0, 1.0, 1
200 -- 506, 1.0, 1.0, 1.0, 1
200 -- 235, 1.0, 1.0, 1.0, 1
200 -- 1133, 4.0, 3.0, 3.0, 3
200 -- 1134, 1.0, 1.0, 1.0, 1
200 -- 865, 1.0, 1.0, 1.0, 1
200 -- 555, 1.0, 1.0, 1.0, 1
200 -- 750, 1.0, 1.0, 1.0, 1
200 -- 363, 1.0, 1.0, 1.0, 1
200 -- 584, 1.0, 1.0, 1.0, 1
200 -- 716, 1.0, 1.0, 1.0, 1
200 -- 1186, 8.0, 6.0, 6.0, 6
200 -- 772, 1.0, 1.0, 1.0, 1
200 -- 1189, 1.0, 1.0, 1.0, 1
201 -- 311, 2.0, 2.0, 2.0, 2
201 -- 995, 1.0, 1.0, 1.0, 1
201 -- 338, 1.0, 1.0, 1.0, 1
201 -- 1250, 1.0, 1.0, 1.0, 1
201 -- 378, 1.0, 1.0, 1.0, 1
201 -- 203, 1.0, 1.0, 1.0, 1
202 -- 709, 1.0, 1.0, 1.0, 1
202 -- 456, 1.0, 1.0, 1.0, 1
202 -- 1216, 11.0, 7.0, 7.0, 7
202 -- 715, 1.0, 1.0, 1.0, 1
202 -- 1278, 1.0, 1.0, 1.0, 1
202 -- 1045, 1.0, 1.0, 1.0, 1
202 -- 1206, 2.0, 2.0, 2.0, 2
202 -- 943, 1.0, 1.0, 1.0, 1
202 -- 717, 1.0, 1.0, 1.0, 1
202 -- 678, 1.0, 1.0, 1.0, 1
202 -- 204, 11.0, 6.0, 6.0, 6
202 -- 681, 3.0, 1.0, 1.0, 1
202 -- 520, 1.0, 1.0, 1.0, 1
202 -- 1217, 2.0, 2.0, 2.0, 2
202 -- 1178, 1.0, 1.0, 1.0, 1
202 -- 1057, 1.0, 1.0, 1.0, 1
202 -- 784, 2.0, 1.0, 1.0, 1
202 -- 514, 1.0, 1.0, 1.0, 1
202 -- 1144, 1.0, 1.0, 1.0, 1
202 -- 697, 1.0, 1.0, 1.0, 1
202 -- 474, 40.0, 18.0, 18.0, 18
202 -- 874, 1.0, 1.0, 1.0, 1
202 -- 476, 1.0, 1.0, 1.0, 1
202 -- 1275, 1.0, 1.0, 1.0, 1
202 -- 387, 4.0, 4.0, 4.0, 4
202 -- 500, 6.0, 5.0, 5.0, 5
202 -- 614, 1.0, 1.0, 1.0, 1
203 -- 1272, 1.0, 1.0, 1.0, 1
203 -- 547, 1.0, 1.0, 1.0, 1
203 -- 563, 2.0, 2.0, 2.0, 2
203 -- 807, 1.0, 1.0, 1.0, 1
203 -- 1029, 1.0, 1.0, 1.0, 1
203 -- 203, 1.0, 1.0, 1.0, 1
204 -- 213, 3.0, 2.0, 2.0, 2
204 -- 573, 1.0, 1.0, 1.0, 1
204 -- 219, 1.0, 1.0, 1.0, 1
204 -- 461, 1.0, 1.0, 1.0, 1
204 -- 1199, 3.0, 3.0, 3.0, 3
204 -- 1127, 3.0, 1.0, 1.0, 1
204 -- 1058, 3.0, 3.0, 3.0, 3
204 -- 1206, 10.0, 7.0, 7.0, 7
204 -- 1083, 1.0, 1.0, 1.0, 1
204 -- 1209, 1.0, 1.0, 1.0, 1
204 -- 836, 1.0, 1.0, 1.0, 1
204 -- 860, 1.0, 1.0, 1.0, 1
204 -- 1052, 2.0, 2.0, 2.0, 2
204 -- 1216, 21.0, 7.0, 7.0, 7
204 -- 552, 5.0, 3.0, 3.0, 3
204 -- 1269, 1.0, 1.0, 1.0, 1
204 -- 784, 2.0, 2.0, 2.0, 2
204 -- 554, 3.0, 3.0, 3.0, 3
204 -- 215, 1.0, 1.0, 1.0, 1
204 -- 450, 1.0, 1.0, 1.0, 1
204 -- 695, 1.0, 1.0, 1.0, 1
204 -- 1130, 1.0, 1.0, 1.0, 1
204 -- 474, 1.0, 1.0, 1.0, 1
204 -- 1056, 1.0, 1.0, 1.0, 1
204 -- 476, 1.0, 1.0, 1.0, 1
204 -- 754, 1.0, 1.0, 1.0, 1
204 -- 647, 1.0, 1.0, 1.0, 1
204 -- 614, 1.0, 1.0, 1.0, 1
205 -- 1216, 4.0, 3.0, 3.0, 3
205 -- 1073, 1.0, 1.0, 1.0, 1
205 -- 710, 1.0, 1.0, 1.0, 1
205 -- 1203, 1.0, 1.0, 1.0, 1
205 -- 1076, 1.0, 1.0, 1.0, 1
205 -- 838, 1.0, 1.0, 1.0, 1
205 -- 576, 1.0, 1.0, 1.0, 1
205 -- 696, 1.0, 1.0, 1.0, 1
205 -- 503, 1.0, 1.0, 1.0, 1
205 -- 1124, 1.0, 1.0, 1.0, 1
205 -- 588, 1.0, 1.0, 1.0, 1
205 -- 205, 1.0, 1.0, 1.0, 1
205 -- 889, 3.0, 3.0, 3.0, 3
205 -- 1112, 1.0, 1.0, 1.0, 1
205 -- 738, 1.0, 1.0, 1.0, 1
205 -- 954, 2.0, 2.0, 2.0, 2
206 -- 656, 1.0, 1.0, 1.0, 1
206 -- 896, 1.0, 1.0, 1.0, 1
206 -- 901, 1.0, 1.0, 1.0, 1
206 -- 322, 1.0, 1.0, 1.0, 1
206 -- 1082, 1.0, 1.0, 1.0, 1
206 -- 988, 1.0, 1.0, 1.0, 1
206 -- 907, 1.0, 1.0, 1.0, 1
206 -- 544, 3.0, 3.0, 3.0, 3
206 -- 948, 1.0, 1.0, 1.0, 1
206 -- 899, 1.0, 1.0, 1.0, 1
206 -- 609, 1.0, 1.0, 1.0, 1
206 -- 1149, 6.0, 5.0, 5.0, 5
206 -- 886, 1.0, 1.0, 1.0, 1
207 -- 508, 1.0, 1.0, 1.0, 1
207 -- 433, 1.0, 1.0, 1.0, 1
207 -- 494, 1.0, 1.0, 1.0, 1
207 -- 518, 4.0, 3.0, 3.0, 3
207 -- 369, 1.0, 1.0, 1.0, 1
207 -- 1141, 1.0, 1.0, 1.0, 1
207 -- 372, 1.0, 1.0, 1.0, 1
207 -- 623, 1.0, 1.0, 1.0, 1
207 -- 450, 1.0, 1.0, 1.0, 1
208 -- 930, 4.0, 4.0, 4.0, 4
208 -- 604, 2.0, 2.0, 2.0, 2
208 -- 1124, 1.0, 1.0, 1.0, 1
208 -- 275, 1.0, 1.0, 1.0, 1
208 -- 695, 1.0, 1.0, 1.0, 1
208 -- 771, 1.0, 1.0, 1.0, 1
208 -- 310, 1.0, 1.0, 1.0, 1
208 -- 311, 3.0, 3.0, 3.0, 3
208 -- 937, 1.0, 1.0, 1.0, 1
208 -- 584, 1.0, 1.0, 1.0, 1
209 -- 392, 1.0, 1.0, 1.0, 1
209 -- 537, 1.0, 1.0, 1.0, 1
209 -- 637, 1.0, 1.0, 1.0, 1
209 -- 761, 1.0, 1.0, 1.0, 1
209 -- 1106, 1.0, 1.0, 1.0, 1
209 -- 719, 22.0, 13.0, 13.0, 13
209 -- 749, 1.0, 1.0, 1.0, 1
209 -- 986, 1.0, 1.0, 1.0, 1
209 -- 584, 4.0, 4.0, 4.0, 4
209 -- 617, 1.0, 1.0, 1.0, 1
209 -- 613, 1.0, 1.0, 1.0, 1
209 -- 555, 1.0, 1.0, 1.0, 1
210 -- 848, 1.0, 1.0, 1.0, 1
210 -- 1249, 1.0, 1.0, 1.0, 1
210 -- 711, 1.0, 1.0, 1.0, 1
210 -- 217, 3.0, 2.0, 2.0, 2
210 -- 810, 5.0, 4.0, 4.0, 4
210 -- 575, 2.0, 1.0, 1.0, 1
210 -- 871, 1.0, 1.0, 1.0, 1
210 -- 662, 1.0, 1.0, 1.0, 1
210 -- 335, 1.0, 1.0, 1.0, 1
210 -- 253, 1.0, 1.0, 1.0, 1
210 -- 1268, 1.0, 1.0, 1.0, 1
210 -- 312, 2.0, 1.0, 1.0, 1
210 -- 727, 1.0, 1.0, 1.0, 1
210 -- 1210, 1.0, 1.0, 1.0, 1
210 -- 315, 12.0, 9.0, 9.0, 9
210 -- 679, 1.0, 1.0, 1.0, 1
210 -- 993, 1.0, 1.0, 1.0, 1
210 -- 808, 4.0, 4.0, 4.0, 4
210 -- 851, 1.0, 1.0, 1.0, 1
210 -- 666, 1.0, 1.0, 1.0, 1
210 -- 265, 1.0, 1.0, 1.0, 1
210 -- 269, 1.0, 1.0, 1.0, 1
210 -- 985, 19.0, 11.0, 11.0, 11
210 -- 869, 1.0, 1.0, 1.0, 1
210 -- 1137, 3.0, 2.0, 2.0, 2
210 -- 325, 3.0, 2.0, 2.0, 2
210 -- 693, 1.0, 1.0, 1.0, 1
210 -- 1142, 1.0, 1.0, 1.0, 1
210 -- 1058, 1.0, 1.0, 1.0, 1
210 -- 1031, 2.0, 2.0, 2.0, 2
210 -- 462, 6.0, 4.0, 4.0, 4
210 -- 875, 1.0, 1.0, 1.0, 1
210 -- 525, 1.0, 1.0, 1.0, 1
210 -- 649, 1.0, 1.0, 1.0, 1
210 -- 469, 1.0, 1.0, 1.0, 1
210 -- 814, 1.0, 1.0, 1.0, 1
210 -- 579, 3.0, 2.0, 2.0, 2
211 -- 945, 1.0, 1.0, 1.0, 1
211 -- 1098, 3.0, 1.0, 1.0, 1
211 -- 1075, 2.0, 2.0, 2.0, 2
211 -- 921, 1.0, 1.0, 1.0, 1
211 -- 1008, 22.0, 15.0, 15.0, 15
211 -- 845, 1.0, 1.0, 1.0, 1
212 -- 351, 1.0, 1.0, 1.0, 1
212 -- 956, 15.0, 10.0, 10.0, 10
212 -- 1106, 1.0, 1.0, 1.0, 1
212 -- 218, 4.0, 3.0, 3.0, 3
212 -- 848, 1.0, 1.0, 1.0, 1
212 -- 1197, 1.0, 1.0, 1.0, 1
212 -- 665, 1.0, 1.0, 1.0, 1
212 -- 567, 1.0, 1.0, 1.0, 1
212 -- 540, 1.0, 1.0, 1.0, 1
212 -- 1199, 1.0, 1.0, 1.0, 1
212 -- 344, 1.0, 1.0, 1.0, 1
212 -- 1127, 1.0, 1.0, 1.0, 1
212 -- 1020, 1.0, 1.0, 1.0, 1
212 -- 1206, 1.0, 1.0, 1.0, 1
212 -- 497, 1.0, 1.0, 1.0, 1
212 -- 673, 1.0, 1.0, 1.0, 1
212 -- 770, 1.0, 1.0, 1.0, 1
212 -- 1205, 1.0, 1.0, 1.0, 1
212 -- 898, 1.0, 1.0, 1.0, 1
212 -- 940, 1.0, 1.0, 1.0, 1
212 -- 1103, 1.0, 1.0, 1.0, 1
212 -- 442, 1.0, 1.0, 1.0, 1
212 -- 513, 1.0, 1.0, 1.0, 1
212 -- 874, 1.0, 1.0, 1.0, 1
212 -- 1272, 1.0, 1.0, 1.0, 1
212 -- 336, 2.0, 2.0, 2.0, 2
212 -- 1100, 1.0, 1.0, 1.0, 1
212 -- 285, 1.0, 1.0, 1.0, 1
212 -- 1104, 2.0, 2.0, 2.0, 2
212 -- 620, 1.0, 1.0, 1.0, 1
212 -- 644, 2.0, 2.0, 2.0, 2
212 -- 367, 3.0, 3.0, 3.0, 3
212 -- 598, 1.0, 1.0, 1.0, 1
212 -- 797, 1.0, 1.0, 1.0, 1
212 -- 799, 1.0, 1.0, 1.0, 1
212 -- 655, 1.0, 1.0, 1.0, 1
213 -- 625, 1.0, 1.0, 1.0, 1
213 -- 378, 1.0, 1.0, 1.0, 1
213 -- 573, 5.0, 3.0, 3.0, 3
213 -- 961, 1.0, 1.0, 1.0, 1
213 -- 383, 1.0, 1.0, 1.0, 1
213 -- 647, 41.0, 26.0, 26.0, 26
213 -- 622, 9.0, 7.0, 7.0, 7
213 -- 1204, 33.0, 23.0, 23.0, 23
213 -- 1206, 1.0, 1.0, 1.0, 1
213 -- 1009, 1.0, 1.0, 1.0, 1
213 -- 473, 1.0, 1.0, 1.0, 1
213 -- 388, 1.0, 1.0, 1.0, 1
213 -- 674, 1.0, 1.0, 1.0, 1
213 -- 1211, 4.0, 4.0, 4.0, 4
213 -- 982, 1.0, 1.0, 1.0, 1
213 -- 513, 8.0, 6.0, 6.0, 6
213 -- 265, 1.0, 1.0, 1.0, 1
213 -- 1001, 1.0, 1.0, 1.0, 1
213 -- 782, 1.0, 1.0, 1.0, 1
213 -- 267, 1.0, 1.0, 1.0, 1
213 -- 785, 1.0, 1.0, 1.0, 1
213 -- 1264, 1.0, 1.0, 1.0, 1
213 -- 215, 1.0, 1.0, 1.0, 1
213 -- 1058, 1.0, 1.0, 1.0, 1
213 -- 1181, 13.0, 11.0, 11.0, 11
213 -- 643, 1.0, 1.0, 1.0, 1
213 -- 1056, 2.0, 2.0, 2.0, 2
213 -- 365, 1.0, 1.0, 1.0, 1
213 -- 366, 1.0, 1.0, 1.0, 1
213 -- 646, 2.0, 2.0, 2.0, 2
213 -- 1079, 7.0, 7.0, 7.0, 7
213 -- 254, 1.0, 1.0, 1.0, 1
213 -- 1027, 1.0, 1.0, 1.0, 1
213 -- 442, 1.0, 1.0, 1.0, 1
213 -- 1113, 3.0, 3.0, 3.0, 3
213 -- 373, 5.0, 3.0, 3.0, 3
214 -- 1132, 1.0, 1.0, 1.0, 1
214 -- 680, 3.0, 3.0, 3.0, 3
214 -- 534, 1.0, 1.0, 1.0, 1
214 -- 216, 1.0, 1.0, 1.0, 1
214 -- 217, 7.0, 6.0, 6.0, 6
214 -- 1137, 5.0, 3.0, 3.0, 3
214 -- 325, 3.0, 1.0, 1.0, 1
214 -- 694, 1.0, 1.0, 1.0, 1
214 -- 894, 1.0, 1.0, 1.0, 1
214 -- 1184, 1.0, 1.0, 1.0, 1
214 -- 311, 1.0, 1.0, 1.0, 1
214 -- 1275, 1.0, 1.0, 1.0, 1
214 -- 716, 1.0, 1.0, 1.0, 1
214 -- 1212, 1.0, 1.0, 1.0, 1
214 -- 427, 1.0, 1.0, 1.0, 1
215 -- 447, 1.0, 1.0, 1.0, 1
215 -- 548, 1.0, 1.0, 1.0, 1
215 -- 848, 1.0, 1.0, 1.0, 1
215 -- 994, 2.0, 2.0, 2.0, 2
215 -- 647, 1.0, 1.0, 1.0, 1
215 -- 885, 1.0, 1.0, 1.0, 1
215 -- 672, 1.0, 1.0, 1.0, 1
215 -- 976, 1.0, 1.0, 1.0, 1
215 -- 979, 1.0, 1.0, 1.0, 1
215 -- 573, 1.0, 1.0, 1.0, 1
215 -- 737, 1.0, 1.0, 1.0, 1
215 -- 833, 1.0, 1.0, 1.0, 1
215 -- 1135, 1.0, 1.0, 1.0, 1
215 -- 782, 1.0, 1.0, 1.0, 1
215 -- 985, 1.0, 1.0, 1.0, 1
215 -- 1079, 13.0, 11.0, 11.0, 11
215 -- 1101, 8.0, 8.0, 8.0, 8
215 -- 873, 1.0, 1.0, 1.0, 1
215 -- 288, 1.0, 1.0, 1.0, 1
215 -- 1128, 1.0, 1.0, 1.0, 1
215 -- 368, 4.0, 3.0, 3.0, 3
215 -- 294, 1.0, 1.0, 1.0, 1
215 -- 949, 1.0, 1.0, 1.0, 1
215 -- 1113, 6.0, 4.0, 4.0, 4
215 -- 1262, 1.0, 1.0, 1.0, 1
216 -- 832, 1.0, 1.0, 1.0, 1
216 -- 532, 1.0, 1.0, 1.0, 1
216 -- 901, 1.0, 1.0, 1.0, 1
216 -- 956, 1.0, 1.0, 1.0, 1
216 -- 996, 1.0, 1.0, 1.0, 1
216 -- 664, 1.0, 1.0, 1.0, 1
216 -- 1017, 17.0, 14.0, 14.0, 14
216 -- 981, 1.0, 1.0, 1.0, 1
216 -- 755, 1.0, 1.0, 1.0, 1
216 -- 1277, 1.0, 1.0, 1.0, 1
216 -- 294, 1.0, 1.0, 1.0, 1
216 -- 947, 1.0, 1.0, 1.0, 1
216 -- 506, 1.0, 1.0, 1.0, 1
216 -- 651, 1.0, 1.0, 1.0, 1
217 -- 573, 1.0, 1.0, 1.0, 1
