& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
5 -- 378, 1.0, 1.0, 1.0, 1
5 -- 573, 1.0, 1.0, 1.0, 1
5 -- 889, 1.0, 1.0, 1.0, 1
5 -- 567, 1.0, 1.0, 1.0, 1
5 -- 1121, 1.0, 1.0, 1.0, 1
5 -- 1188, 3.0, 2.0, 2.0, 2
5 -- 1126, 1.0, 1.0, 1.0, 1
5 -- 1102, 1.0, 1.0, 1.0, 1
5 -- 309, 1.0, 1.0, 1.0, 1
5 -- 1250, 1.0, 1.0, 1.0, 1
5 -- 113, 1.0, 1.0, 1.0, 1
5 -- 494, 1.0, 1.0, 1.0, 1
5 -- 116, 1.0, 1.0, 1.0, 1
5 -- 224, 1.0, 1.0, 1.0, 1
5 -- 932, 1.0, 1.0, 1.0, 1
5 -- 159, 1.0, 1.0, 1.0, 1
5 -- 338, 1.0, 1.0, 1.0, 1
5 -- 968, 1.0, 1.0, 1.0, 1
5 -- 244, 1.0, 1.0, 1.0, 1
5 -- 800, 1.0, 1.0, 1.0, 1
5 -- 557, 1.0, 1.0, 1.0, 1
5 -- 1143, 68.0, 22.0, 22.0, 22
5 -- 458, 1.0, 1.0, 1.0, 1
5 -- 753, 3.0, 2.0, 2.0, 2
5 -- 340, 1.0, 1.0, 1.0, 1
5 -- 948, 1.0, 1.0, 1.0, 1
5 -- 772, 1.0, 1.0, 1.0, 1
5 -- 1151, 1.0, 1.0, 1.0, 1
5 -- 296, 1.0, 1.0, 1.0, 1
5 -- 1113, 1.0, 1.0, 1.0, 1
5 -- 1191, 8.0, 4.0, 4.0, 4
5 -- 1282, 1.0, 1.0, 1.0, 1
6 -- 570, 1.0, 1.0, 1.0, 1
6 -- 140, 1.0, 1.0, 1.0, 1
6 -- 572, 1.0, 1.0, 1.0, 1
6 -- 1113, 1.0, 1.0, 1.0, 1
6 -- 575, 1.0, 1.0, 1.0, 1
6 -- 198, 1.0, 1.0, 1.0, 1
6 -- 743, 1.0, 1.0, 1.0, 1
6 -- 557, 1.0, 1.0, 1.0, 1
6 -- 1145, 1.0, 1.0, 1.0, 1
6 -- 113, 9.0, 6.0, 6.0, 6
6 -- 1079, 1.0, 1.0, 1.0, 1
6 -- 1280, 1.0, 1.0, 1.0, 1
6 -- 1084, 1.0, 1.0, 1.0, 1
6 -- 842, 2.0, 2.0, 2.0, 2
6 -- 374, 1.0, 1.0, 1.0, 1
7 -- 815, 2.0, 2.0, 2.0, 2
7 -- 901, 1.0, 1.0, 1.0, 1
7 -- 1082, 1.0, 1.0, 1.0, 1
7 -- 1186, 1.0, 1.0, 1.0, 1
7 -- 921, 1.0, 1.0, 1.0, 1
7 -- 1106, 1.0, 1.0, 1.0, 1
7 -- 506, 1.0, 1.0, 1.0, 1
7 -- 749, 1.0, 1.0, 1.0, 1
8 -- 60, 1.0, 1.0, 1.0, 1
8 -- 532, 2.0, 2.0, 2.0, 2
8 -- 389, 1.0, 1.0, 1.0, 1
8 -- 808, 1.0, 1.0, 1.0, 1
8 -- 1113, 1.0, 1.0, 1.0, 1
8 -- 635, 1.0, 1.0, 1.0, 1
8 -- 885, 3.0, 2.0, 2.0, 2
8 -- 871, 1.0, 1.0, 1.0, 1
8 -- 889, 2.0, 1.0, 1.0, 1
8 -- 539, 2.0, 2.0, 2.0, 2
8 -- 642, 1.0, 1.0, 1.0, 1
8 -- 1124, 2.0, 2.0, 2.0, 2
8 -- 501, 11.0, 6.0, 6.0, 6
8 -- 517, 1.0, 1.0, 1.0, 1
8 -- 311, 2.0, 2.0, 2.0, 2
8 -- 10, 4.0, 3.0, 3.0, 3
8 -- 731, 1.0, 1.0, 1.0, 1
8 -- 88, 1.0, 1.0, 1.0, 1
8 -- 735, 1.0, 1.0, 1.0, 1
8 -- 859, 1.0, 1.0, 1.0, 1
8 -- 466, 1.0, 1.0, 1.0, 1
8 -- 352, 2.0, 2.0, 2.0, 2
8 -- 504, 1.0, 1.0, 1.0, 1
8 -- 725, 1.0, 1.0, 1.0, 1
8 -- 218, 1.0, 1.0, 1.0, 1
8 -- 431, 1.0, 1.0, 1.0, 1
8 -- 555, 1.0, 1.0, 1.0, 1
8 -- 1060, 1.0, 1.0, 1.0, 1
8 -- 1144, 1.0, 1.0, 1.0, 1
8 -- 462, 2.0, 1.0, 1.0, 1
8 -- 410, 1.0, 1.0, 1.0, 1
8 -- 522, 1.0, 1.0, 1.0, 1
8 -- 176, 1.0, 1.0, 1.0, 1
8 -- 937, 1.0, 1.0, 1.0, 1
8 -- 650, 1.0, 1.0, 1.0, 1
8 -- 654, 1.0, 1.0, 1.0, 1
8 -- 8, 1.0, 1.0, 1.0, 1
8 -- 1132, 1.0, 1.0, 1.0, 1
8 -- 763, 1.0, 1.0, 1.0, 1
8 -- 548, 1.0, 1.0, 1.0, 1
8 -- 1076, 1.0, 1.0, 1.0, 1
8 -- 253, 1.0, 1.0, 1.0, 1
8 -- 768, 5.0, 5.0, 5.0, 5
8 -- 769, 10.0, 7.0, 7.0, 7
8 -- 495, 2.0, 1.0, 1.0, 1
8 -- 345, 1.0, 1.0, 1.0, 1
8 -- 273, 1.0, 1.0, 1.0, 1
8 -- 347, 8.0, 7.0, 7.0, 7
8 -- 188, 1.0, 1.0, 1.0, 1
8 -- 115, 1.0, 1.0, 1.0, 1
8 -- 71, 1.0, 1.0, 1.0, 1
8 -- 588, 1.0, 1.0, 1.0, 1
8 -- 29, 1.0, 1.0, 1.0, 1
8 -- 845, 1.0, 1.0, 1.0, 1
8 -- 508, 1.0, 1.0, 1.0, 1
8 -- 1146, 1.0, 1.0, 1.0, 1
8 -- 277, 2.0, 2.0, 2.0, 2
8 -- 785, 1.0, 1.0, 1.0, 1
8 -- 516, 2.0, 2.0, 2.0, 2
8 -- 435, 1.0, 1.0, 1.0, 1
8 -- 83, 1.0, 1.0, 1.0, 1
8 -- 562, 1.0, 1.0, 1.0, 1
8 -- 705, 1.0, 1.0, 1.0, 1
8 -- 106, 1.0, 1.0, 1.0, 1
8 -- 1030, 1.0, 1.0, 1.0, 1
8 -- 1258, 1.0, 1.0, 1.0, 1
8 -- 375, 1.0, 1.0, 1.0, 1
8 -- 1190, 1.0, 1.0, 1.0, 1
8 -- 138, 1.0, 1.0, 1.0, 1
8 -- 1282, 1.0, 1.0, 1.0, 1
8 -- 579, 1.0, 1.0, 1.0, 1
9 -- 848, 1.0, 1.0, 1.0, 1
9 -- 1180, 1.0, 1.0, 1.0, 1
9 -- 629, 3.0, 1.0, 1.0, 1
