@Concept: #id, key, label, concept, body_part, frequency
122, 16.251, smile, smile, 0.0, 210.0
123, 3.65, fish, fish, 0.0, 248.0
124, 3.63, mouse/ rat, mouse/ rat, 0.0, 348.0
125, 3.62, cat, cat, 0.0, 224.0
126, 3.61, dog, dog, 0.0, 262.0
127, 4.87, physician, physician, 0.0, 238.0
128, 8.98, mushroom, mushroom, 0.0, 248.0
129, 5.49, stir/ mix, stir/ mix, 0.0, 313.0
130, 9.14, bend, bend, 0.0, 314.0
131, 9.15, fold, fold, 0.0, 297.0
132, 9.16, tie/ bind, tie/ bind, 0.0, 312.0
133, 12.232, divide, divide, 0.0, 245.0
134, 9.11, do/ make, do/ make, 0.0, 299.0
135, 9.12, work, work, 0.0, 269.0
136, 8.96, fish poison (root), fish poison (root), 0.0, 94.0
137, 8.531, plant (vb), plant (vb), 0.0, 252.0
138, 9.19, rope/ cord, rope/ cord, 0.0, 305.0
139, 12.8, up/ above, up/ above, 0.0, 292.0
140, 4.281, nape of neck, nape of neck, 1.0, 234.0
141, 4.68, shiver, shiver, 0.0, 275.0
142, 4.69, bathe, bathe, 0.0, 260.0
143, 4.66, defecate, defecate, 0.0, 299.0
144, 4.67, have sexual intercourse, have sexual intercourse, 0.0, 272.0
145, 12.3, down/ below, down/ below, 0.0, 277.0
146, 4.65, urinate, urinate, 0.0, 270.0
147, 12.5, inside/ in, inside/ in, 0.0, 273.0
148, 12.4, before, before, 0.0, 248.0
149, 12.7, under, under, 0.0, 221.0
150, 12.6, outside, outside, 0.0, 232.0
151, 5.43, lunch, lunch, 0.0, 150.0
152, 7.24, key, key, 0.0, 166.0
153, 2.48, grandson, grandson, 0.0, 272.0
154, 10.413, crouch, crouch, 0.0, 223.0
155, 20.54, fishnet, fishnet, 0.0, 217.0
156, 20.55, fish trap, fish trap, 0.0, 161.0
157, 20.56, bait, bait, 0.0, 166.0
158, 20.45, retreat, retreat, 0.0, 209.0
159, 20.52, fishhook, fishhook, 0.0, 217.0
160, 20.53, fishing line, fishing line, 0.0, 172.0
161, 17.49, way/ manner, way/ manner, 0.0, 253.0
162, 17.48, try/ attempt, try/ attempt, 0.0, 249.0
163, 11.17, keep/ retain, keep/ retain, 0.0, 257.0
164, 17.41, intention/ purpose, intention/ purpose, 0.0, 267.0
165, 5.47, sieve/ strain, sieve/ strain, 0.0, 283.0
166, 17.43, doubt, doubt, 0.0, 209.0
167, 7.33, chimney, chimney, 0.0, 173.0
168, 17.45, need/ necessity, need/ necessity, 0.0, 270.0
169, 17.44, suspect, suspect, 0.0, 196.0
170, 17.47, difficult, difficult, 0.0, 248.0
171, 17.46, easy, easy, 0.0, 237.0
172, 10.22, raise/ lift, raise/ lift, 0.0, 292.0
173, 5.45, supper, supper, 0.0, 165.0
174, 13.106, thousand, thousand, 0.0, 162.0
175, 8.21, plow, plow, 0.0, 201.0
176, 12.42, left (side), left (side), 0.0, 245.0
177, 4.42, udder, udder, 1.0, 209.0
178, 10.49, go away/ depart, go away/ depart, 0.0, 295.0
179, 10.26, shake, shake, 0.0, 322.0
180, 4.43, navel, navel, 1.0, 239.0
181, 12.353, edge, edge, 0.0, 342.0
182, 12.352, pointed, pointed, 0.0, 263.0
183, 5.25, oven, oven, 0.0, 197.0
184, 5.24, bake, bake, 0.0, 212.0
185, 5.27, kettle, kettle, 0.0, 197.0
186, 5.26, pot/ cooking vessel, pot/ cooking vessel, 0.0, 284.0
187, 5.21, cook, cook, 0.0, 281.0
188, 5.23, roast/ fry, roast/ fry, 0.0, 349.0
189, 5.22, boil (vb), boil (vb), 0.0, 281.0
190, 15.31, taste, taste, 0.0, 240.0
191, 3.38, kid, kid, 0.0, 177.0
192, 7.421, pillow, pillow, 0.0, 221.0
193, 7.422, blanket, blanket, 0.0, 248.0
194, 4.47, womb, womb, 1.0, 247.0
195, 4.351, thigh, thigh, 1.0, 248.0
196, 4.352, calf of leg, calf of leg, 1.0, 208.0
197, 12.78, square, square, 0.0, 179.0
198, 12.77, cross, cross, 0.0, 177.0
199, 12.76, corner, corner, 0.0, 244.0
200, 12.75, hook, hook, 0.0, 227.0
201, 4.213, eyelid, eyelid, 1.0, 218.0
202, 12.73, straight, straight, 0.0, 266.0
203, 4.215, blink, blink, 1.0, 238.0
204, 12.71, flat, flat, 0.0, 272.0
205, 10.42, slide/ slip, slide/ slip, 0.0, 286.0
206, 20.33, helmet, helmet, 0.0, 154.0
207, 6.61, pocket, pocket, 0.0, 198.0
208, 6.62, button, button, 0.0, 194.0
209, 6.63, pin, pin, 0.0, 179.0
210, 4.24, mouth, mouth, 1.0, 258.0
211, 4.591, dribble, dribble, 0.0, 208.0
212, 7.27, wall, wall, 0.0, 239.0
213, 7.26, floor, floor, 0.0, 240.0
214, 7.25, window, window, 0.0, 209.0
215, 4.464, buttocks, buttocks, 1.0, 292.0
216, 7.23, lock (noun), lock (noun), 0.0, 180.0
217, 7.22, door/ gate, door/ gate, 0.0, 341.0
218, 7.21, room, room, 0.0, 225.0
219, 2.95, you (plural), you (plural), 0.0, 267.0
220, 2.94, we, we, 0.0, 241.0
